(ASF)	2	2042	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/ssl-client.xml.example:1994	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/ssl-server.xml.example:
(CSAIL).[10]	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
(HTTP)	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
(W3C),	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
(WSRI),[11]	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
(born	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
(called	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
(fs,	1	2483	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-env.sh:
(maximum-system-jobs	2	7457	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/capacity-scheduler.xml:
(short	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
(the	6	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:2042	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/ssl-client.xml.example:1095	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/configuration.xsl:1994	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/ssl-server.xml.example:2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
(with	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
*	2	7457	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/capacity-scheduler.xml:
*.sink.file.class=org.apache.hadoop.metrics2.sink.FileSink	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
*.sink.ganglia.class=org.apache.hadoop.metrics2.sink.ganglia.GangliaSink30	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
*.sink.ganglia.class=org.apache.hadoop.metrics2.sink.ganglia.GangliaSink31	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
*.sink.ganglia.period=10	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
*.sink.ganglia.supportsparse=true	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
,	2	7457	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/capacity-scheduler.xml:
-	6	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
-->	17	4644	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-policy.xml:471	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/core-site.xml:7457	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/capacity-scheduler.xml:251	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hdfs-site.xml:1095	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/configuration.xsl:2042	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/ssl-client.xml.example:1994	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/ssl-server.xml.example:304	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/mapred-site.xml:327	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/fair-scheduler.xml:2033	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/mapred-queue-acls.xml:
-1	1	7457	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/capacity-scheduler.xml:
-o	1	2483	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-env.sh:
...	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
/tmp	1	2483	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-env.sh:
100	1	7457	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/capacity-scheduler.xml:
1000.	1	2483	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-env.sh:
1955),	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
1989,	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
1989,[4]	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
1990,	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
1995	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
1995.[28]	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
2	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
2.0	6	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:2042	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/ssl-client.xml.example:1095	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/configuration.xsl:1994	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/ssl-server.xml.example:2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
2004,	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
2009,	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
2012	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
25%	1	7457	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/capacity-scheduler.xml:
25.	1	7457	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/capacity-scheduler.xml:
3.0	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
3.1	1	2052	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-metrics2.properties:
30-day	4	3890	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/task-log4j.properties:5018	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/log4j.properties:
33%	1	7457	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/capacity-scheduler.xml:
4	1	7457	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/capacity-scheduler.xml:
50%	1	7457	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/capacity-scheduler.xml:
8	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
80,000	1	3489	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/greatestofgreats.txt:
<!--	17	4644	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-policy.xml:471	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/core-site.xml:7457	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/capacity-scheduler.xml:251	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hdfs-site.xml:1095	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/configuration.xsl:2042	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/ssl-client.xml.example:1994	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/ssl-server.xml.example:304	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/mapred-site.xml:327	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/fair-scheduler.xml:2033	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/mapred-queue-acls.xml:
</allocations>	1	327	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/fair-scheduler.xml:
</body>	1	1095	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/configuration.xsl:
</configuration>	8	4644	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hadoop-policy.xml:2042	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/ssl-client.xml.example:471	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/core-site.xml:7457	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/capacity-scheduler.xml:251	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/hdfs-site.xml:1994	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/ssl-server.xml.example:304	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/mapred-site.xml:2033	hdfs://localhost:54310/home/hduser/hadoopData/inputdir/mapred-queue-acls.xml:
